"season","team","wins","losses","fga","fg_per","three_pa","three_per","two_pa","two_per","fta","ft_per","off_reb","def_reb","ast","stl","blk","tov","fouls","pts"
"2000-01","Miami Heat",50,32,6258,"0.43",1384,"0.345",4874,"0.455",1874,"0.759",813,2435,1630,633,304,1122,1726,7289
"2001-02","Miami Heat",36,46,6382,"0.439",899,"0.347",5483,"0.454",1708,"0.724",902,2544,1664,547,448,1217,1846,7150
"2002-03","Miami Heat",25,57,6517,"0.412",1100,"0.316",5417,"0.432",1689,"0.765",948,2464,1501,592,324,1167,1856,7016
"2003-04","Miami Heat",42,40,6417,"0.425",1357,"0.357",5060,"0.443",1915,"0.762",940,2459,1565,590,313,1137,1812,7402
"2004-05","Miami Heat",59,23,6368,"0.486",1260,"0.377",5108,"0.513",2466,"0.672",887,2639,1790,528,474,1127,1814,8327
"2005-06","Miami Heat",52,30,6355,"0.478",1441,"0.345",4914,"0.517",2310,"0.7",858,2675,1692,522,442,1186,1871,8191
"2006-07","Miami Heat",44,38,6288,"0.464",1539,"0.343",4749,"0.503",2019,"0.69",817,2526,1681,566,442,1201,1749,7759
"2007-08","Miami Heat",15,67,6336,"0.443",1373,"0.358",4963,"0.467",1903,"0.727",743,2342,1644,589,355,1202,1670,7491
"2008-09","Miami Heat",43,39,6646,"0.457",1631,"0.357",5015,"0.489",1871,"0.754",828,2411,1671,651,451,1026,1696,8061
"2009-10","Miami Heat",47,35,6518,"0.458",1426,"0.346",5092,"0.489",1931,"0.752",875,2553,1548,605,457,1079,1710,7914
"2010-11","Miami Heat",58,24,6301,"0.481",1479,"0.37",4822,"0.515",2288,"0.769",790,2666,1639,544,430,1142,1674,8369
"2011-12","Miami Heat",46,20,5212,"0.469",1030,"0.359",4182,"0.496",1598,"0.775",686,2060,1317,585,355,1002,1282,6500
"2012-13","Miami Heat",66,16,6348,"0.496",1809,"0.396",4539,"0.536",1887,"0.754",676,2490,1890,710,441,1143,1533,8436
"2013-14","Miami Heat",54,28,6272,"0.501",1829,"0.364",4443,"0.558",1884,"0.76",627,2397,1847,732,367,1212,1596,8380
"2014-15","Miami Heat",37,45,6330,"0.456",1659,"0.335",4671,"0.499",1940,"0.741",747,2461,1626,642,372,1214,1636,7764
"2015-16","Miami Heat",48,34,6697,"0.47",1480,"0.336",5217,"0.508",1889,"0.744",807,2811,1709,553,531,1155,1502,8204
"2016-17","Miami Heat",41,41,7037,"0.455",2213,"0.365",4824,"0.496",1768,"0.706",872,2705,1742,588,469,1102,1680,8460
"2017-18","Miami Heat",44,38,6997,"0.455",2506,"0.36",4491,"0.508",1601,"0.755",763,2801,1862,620,437,1179,1648,8480
"2018-19","Miami Heat",39,43,7218,"0.45",2658,"0.349",4560,"0.509",1782,"0.695",921,2879,1991,627,448,1208,1712,8668
"2019-20","Miami Heat",44,29,6160,"0.468",2584,"0.379",3576,"0.532",1840,"0.783",620,2619,1892,547,332,1088,1501,8179
"2020-21","Miami Heat",40,32,6029,"0.468",2606,"0.358",3423,"0.553",1520,"0.79",579,2409,1895,569,286,1013,1363,7781
"2021-22","Miami Heat",53,29,6954,"0.467",2936,"0.379",4018,"0.531",1753,"0.808",807,2778,2090,606,265,1194,1679,9022
"2000-01","Boston Celtics",36,46,6485,"0.428",1633,"0.363",4852,"0.45",2190,"0.74",897,2367,1708,769,336,1285,1952,7759
"2001-02","Boston Celtics",49,33,6731,"0.424",1946,"0.359",4785,"0.45",1960,"0.764",891,2570,1722,793,292,1114,1776,7901
"2002-03","Boston Celtics",44,38,6509,"0.415",2155,"0.334",4354,"0.455",1994,"0.742",849,2471,1575,720,303,1147,1758,7599
"2003-04","Boston Celtics",36,46,6415,"0.443",1599,"0.346",4816,"0.475",2095,"0.75",851,2440,1683,770,331,1332,1837,7811
"2004-05","Boston Celtics",45,37,6511,"0.468",1252,"0.349",5259,"0.496",2323,"0.764",909,2438,1810,667,423,1297,2000,8304
"2005-06","Boston Celtics",33,49,6322,"0.467",1290,"0.362",5032,"0.494",2204,"0.755",813,2432,1716,578,422,1359,2033,8033
"2006-07","Boston Celtics",24,58,6454,"0.443",1283,"0.367",5171,"0.462",2178,"0.767",918,2391,1630,589,382,1350,1971,7857
"2007-08","Boston Celtics",66,16,6286,"0.475",1564,"0.381",4722,"0.506",2176,"0.771",830,2615,1833,696,379,1246,1864,8245
"2008-09","Boston Celtics",62,20,6333,"0.486",1355,"0.397",4978,"0.51",2075,"0.765",869,2586,1862,621,387,1280,1897,8275
"2009-10","Boston Celtics",50,32,6294,"0.483",1433,"0.348",4861,"0.523",2090,"0.746",716,2449,1930,701,402,1219,1816,8136
"2010-11","Boston Celtics",56,26,6219,"0.486",1119,"0.365",5100,"0.513",1895,"0.77",639,2542,1921,676,344,1195,1678,7913
"2011-12","Boston Celtics",39,27,5086,"0.46",988,"0.367",4098,"0.483",1308,"0.778",509,2051,1557,498,362,979,1315,6062
"2012-13","Boston Celtics",41,40,6459,"0.465",1390,"0.358",5069,"0.494",1698,"0.776",654,2533,1843,667,365,1181,1717,7818
"2013-14","Boston Celtics",25,57,6883,"0.435",1729,"0.333",5154,"0.47",1706,"0.777",980,2505,1726,584,343,1261,1743,7892
"2014-15","Boston Celtics",40,42,7211,"0.443",2021,"0.327",5190,"0.488",1678,"0.754",910,2685,2009,674,294,1133,1738,8312
"2015-16","Boston Celtics",48,34,7318,"0.439",2142,"0.335",5176,"0.483",1929,"0.788",950,2733,1981,752,348,1127,1796,8669
"2016-17","Boston Celtics",53,29,6978,"0.454",2742,"0.359",4236,"0.515",1903,"0.807",744,2698,2069,617,340,1088,1686,8857
"2017-18","Boston Celtics",55,27,6975,"0.45",2492,"0.377",4483,"0.491",1697,"0.771",767,2878,1842,604,373,1149,1618,8529
"2018-19","Boston Celtics",49,33,7423,"0.465",2829,"0.365",4594,"0.527",1598,"0.802",804,2849,2155,706,435,1052,1670,9216
"2019-20","Boston Celtics",48,24,6448,"0.461",2487,"0.364",3961,"0.522",1668,"0.801",768,2549,1655,595,406,995,1553,8183
"2020-21","Boston Celtics",36,36,6401,"0.466",2618,"0.374",3783,"0.53",1496,"0.775",765,2421,1689,556,383,1012,1471,8109
"2021-22","Boston Celtics",51,31,7167,"0.466",3044,"0.356",4123,"0.547",1713,"0.816",863,2915,2036,591,478,1118,1521,9164
"2000-01","Atlanta Hawks",25,57,6668,"0.431",933,"0.357",5735,"0.443",1811,"0.759",1028,2490,1559,634,387,1368,1863,7459
"2001-02","Atlanta Hawks",33,49,6610,"0.439",1194,"0.354",5416,"0.458",1942,"0.765",955,2445,1656,667,350,1275,1702,7711
"2002-03","Atlanta Hawks",35,47,6434,"0.444",1141,"0.352",5293,"0.464",2011,"0.793",937,2558,1679,611,473,1367,1783,7714
"2003-04","Atlanta Hawks",28,54,6529,"0.433",1249,"0.335",5280,"0.456",1976,"0.776",996,2507,1648,627,408,1350,1826,7611
"2004-05","Atlanta Hawks",13,69,6672,"0.441",973,"0.312",5699,"0.463",1994,"0.711",1100,2335,1614,629,344,1319,2009,7605
"2005-06","Atlanta Hawks",26,56,6496,"0.454",1154,"0.367",5342,"0.472",2207,"0.75",1069,2232,1625,587,394,1284,2054,7972
"2006-07","Atlanta Hawks",30,52,6372,"0.444",1038,"0.329",5334,"0.467",2203,"0.761",976,2312,1573,609,446,1306,1970,7680
"2007-08","Atlanta Hawks",37,45,6552,"0.454",1078,"0.356",5474,"0.473",2227,"0.772",1008,2454,1804,600,448,1223,1673,8054
"2008-09","Atlanta Hawks",47,35,6451,"0.458",1633,"0.366",4818,"0.49",2085,"0.737",870,2412,1657,603,376,1048,1610,8046
"2009-10","Atlanta Hawks",53,29,6801,"0.468",1455,"0.36",5346,"0.497",1914,"0.759",969,2451,1789,592,413,980,1632,8338
"2010-11","Atlanta Hawks",44,38,6429,"0.462",1427,"0.352",5002,"0.494",1728,"0.779",762,2460,1802,497,341,1118,1554,7790
"2011-12","Atlanta Hawks",40,26,5348,"0.454",1330,"0.37",4018,"0.482",1385,"0.74",652,2066,1481,536,303,921,1178,6375
"2012-13","Atlanta Hawks",44,38,6644,"0.464",1901,"0.371",4743,"0.501",1619,"0.715",758,2593,2007,664,369,1219,1473,8032
"2013-14","Atlanta Hawks",38,44,6688,"0.458",2116,"0.363",4572,"0.502",1782,"0.781",713,2565,2041,680,326,1251,1577,8282
"2014-15","Atlanta Hawks",60,22,6699,"0.466",2152,"0.38",4547,"0.506",1735,"0.778",715,2611,2111,744,380,1167,1457,8409
"2015-16","Atlanta Hawks",48,34,6923,"0.458",2326,"0.35",4597,"0.512",1638,"0.783",679,2772,2100,747,486,1226,1570,8433
"2016-17","Atlanta Hawks",43,39,6918,"0.451",2137,"0.341",4781,"0.501",2039,"0.728",842,2793,1938,672,397,1294,1491,8459
"2017-18","Atlanta Hawks",24,58,7015,"0.446",2544,"0.36",4471,"0.495",1654,"0.785",743,2693,1946,638,348,1276,1606,8475
"2018-19","Atlanta Hawks",29,53,7524,"0.451",3034,"0.352",4490,"0.518",1918,"0.752",955,2825,2118,675,419,1397,1932,9294
"2019-20","Atlanta Hawks",20,47,6067,"0.449",2416,"0.333",3651,"0.525",1566,"0.79",661,2237,1605,523,341,1086,1548,7488
"2020-21","Atlanta Hawks",41,31,6281,"0.468",2402,"0.373",3879,"0.526",1745,"0.812",760,2525,1737,503,342,953,1392,8186
"2021-22","Atlanta Hawks",43,39,7241,"0.47",2821,"0.374",4420,"0.531",1829,"0.812",823,2783,2017,587,348,972,1534,9343
"2022-23","Atlanta Hawks",41,41,7574,"0.483",2505,"0.352",5069,"0.548",1850,"0.818",920,2719,2049,580,401,1060,1541,9711
"2022-23","Miami Heat",44,38,6991,"0.46",2852,"0.344",4139,"0.54",1885,"0.831",796,2533,1955,655,243,1106,1516,8977
"2022-23","Boston Celtics",57,25,7278,"0.475",3492,"0.377",3786,"0.567",1769,"0.812",796,2921,2186,521,430,1095,1542,9671
"2012-13","Brooklyn Nets",49,33,6544,"0.45",1760,"0.357",4784,"0.484",1958,"0.731",1047,2460,1668,599,391,1206,1500,7944
"2013-14","Brooklyn Nets",44,38,6391,"0.459",1922,"0.369",4469,"0.497",2002,"0.753",721,2407,1714,705,311,1191,1777,8079
"2014-15","Brooklyn Nets",38,44,6804,"0.451",1633,"0.331",5171,"0.489",1817,"0.748",846,2627,1716,576,340,1133,1579,8038
"2015-16","Brooklyn Nets",21,61,6920,"0.453",1508,"0.352",5412,"0.481",1699,"0.757",863,2614,1829,627,332,1212,1476,8089
"2016-17","Brooklyn Nets",20,62,6987,"0.444",2591,"0.338",4396,"0.506",2020,"0.788",721,2879,1756,593,387,1356,1726,8673
"2017-18","Brooklyn Nets",28,54,7114,"0.441",2924,"0.356",4190,"0.5",1850,"0.772",792,2852,1941,512,390,1245,1688,8741
"2018-19","Brooklyn Nets",42,40,7358,"0.449",2965,"0.353",4393,"0.513",2088,"0.745",900,2919,1954,539,339,1236,1763,9204
"2019-20","Brooklyn Nets",35,37,6498,"0.448",2746,"0.343",3752,"0.524",1732,"0.745",766,2683,1761,464,323,1099,1510,8048
"2020-21","Brooklyn Nets",48,24,6289,"0.494",2600,"0.392",3689,"0.565",1623,"0.804",640,2559,1929,484,379,975,1371,8537
"2021-22","Brooklyn Nets",44,38,7251,"0.475",2602,"0.361",4649,"0.538",1781,"0.805",844,2796,2071,582,448,1153,1670,9258
"2022-23","Brooklyn Nets",45,37,6978,"0.487",2771,"0.378",4207,"0.559",1811,"0.8",674,2648,2093,585,506,1127,1730,9295
"2000-01","New Jersey Nets",26,56,6550,"0.425",1084,"0.333",5466,"0.443",2146,"0.759",909,2337,1603,649,407,1208,1982,7552
"2001-02","New Jersey Nets",52,30,6816,"0.446",1194,"0.338",5622,"0.469",1907,"0.735",1039,2515,1990,716,490,1189,1734,7889
"2002-03","New Jersey Nets",49,33,6585,"0.441",1041,"0.332",5544,"0.462",2195,"0.757",991,2528,1887,717,374,1212,1772,7820
"2003-04","New Jersey Nets",47,35,6372,"0.441",1123,"0.336",5249,"0.464",1856,"0.753",862,2473,2009,709,322,1209,1722,7401
"2004-05","New Jersey Nets",42,40,6419,"0.429",1203,"0.362",5216,"0.444",2039,"0.763",855,2387,1772,650,308,1164,1985,7496
"2005-06","New Jersey Nets",49,33,6317,"0.44",1447,"0.33",4870,"0.472",2187,"0.758",822,2539,1884,558,278,1119,1903,7691
"2006-07","New Jersey Nets",41,41,6379,"0.457",1676,"0.363",4703,"0.49",2153,"0.727",822,2525,1962,499,273,1212,1869,8001
"2007-08","New Jersey Nets",34,48,6450,"0.443",1430,"0.348",5020,"0.47",2237,"0.736",913,2520,1925,521,390,1229,1855,7857
"2008-09","New Jersey Nets",34,48,6536,"0.448",1735,"0.376",4801,"0.473",1980,"0.779",850,2415,1636,559,391,1075,1838,8044
"2009-10","New Jersey Nets",12,70,6554,"0.429",1185,"0.318",5369,"0.454",2015,"0.78",897,2358,1540,573,393,1182,1643,7575
"2010-11","New Jersey Nets",24,58,6638,"0.44",1337,"0.343",5301,"0.464",1881,"0.759",909,2440,1723,458,384,1152,1807,7722
"2011-12","New Jersey Nets",22,44,5320,"0.425",1481,"0.342",3839,"0.457",1433,"0.777",783,1879,1311,493,260,995,1268,6144
"2000-01","Chicago Bulls",15,67,6411,"0.424",950,"0.346",5461,"0.438",1909,"0.739",926,2260,1810,675,379,1292,1902,7181
"2001-02","Chicago Bulls",21,61,6491,"0.433",868,"0.346",5623,"0.447",1958,"0.722",924,2359,1817,633,361,1252,1834,7335
"2002-03","Chicago Bulls",30,52,6714,"0.445",997,"0.35",5717,"0.462",2014,"0.722",985,2541,1782,605,461,1388,2028,7786
"2003-04","Chicago Bulls",23,59,6753,"0.414",1256,"0.342",5497,"0.431",1834,"0.725",1048,2519,1793,659,396,1321,1911,7355
"2004-05","Chicago Bulls",47,35,6592,"0.432",1433,"0.357",5159,"0.453",2048,"0.75",1001,2591,1743,576,369,1371,2028,7745
"2005-06","Chicago Bulls",41,41,6737,"0.446",1477,"0.379",5260,"0.465",1967,"0.738",906,2602,1804,508,345,1224,2038,8020
"2006-07","Chicago Bulls",49,33,6663,"0.457",1237,"0.388",5426,"0.473",2083,"0.734",984,2597,1832,639,445,1310,1908,8100
"2007-08","Chicago Bulls",33,49,6861,"0.435",1305,"0.363",5556,"0.452",2029,"0.756",1050,2478,1811,635,429,1197,1784,7981
"2008-09","Chicago Bulls",41,41,6846,"0.457",1293,"0.381",5553,"0.474",2052,"0.796",970,2481,1732,615,453,1192,1709,8378
"2009-10","Chicago Bulls",41,41,6825,"0.451",1066,"0.33",5759,"0.474",1962,"0.754",937,2715,1704,531,478,1175,1648,7993
"2010-11","Chicago Bulls",62,20,6587,"0.462",1415,"0.361",5172,"0.489",2008,"0.743",967,2654,1827,592,468,1161,1639,8087
"2011-12","Chicago Bulls",50,16,5462,"0.452",1117,"0.375",4345,"0.471",1394,"0.722",915,2165,1527,456,388,923,1139,6359
"2012-13","Chicago Bulls",45,37,6698,"0.437",1265,"0.353",5433,"0.456",1738,"0.773",1026,2514,1886,588,417,1171,1617,7641
"2013-14","Chicago Bulls",48,34,6577,"0.432",1459,"0.348",5118,"0.456",1908,"0.779",937,2683,1860,594,424,1223,1565,7680
"2014-15","Chicago Bulls",50,32,6797,"0.442",1825,"0.353",4972,"0.474",2067,"0.783",959,2792,1781,514,476,1145,1495,8265
"2015-16","Chicago Bulls",42,40,7170,"0.441",1753,"0.371",5417,"0.464",1720,"0.787",907,2889,1870,495,470,1141,1545,8335
"2016-17","Chicago Bulls",41,41,7141,"0.444",1831,"0.34",5310,"0.479",1848,"0.798",999,2797,1851,643,393,1112,1455,8435
"2017-18","Chicago Bulls",27,55,7285,"0.435",2549,"0.355",4736,"0.478",1574,"0.759",790,2873,1923,626,289,1147,1571,8440
"2018-19","Chicago Bulls",22,60,7205,"0.453",2123,"0.351",5082,"0.496",1695,"0.783",718,2799,1796,603,351,1159,1663,8605
"2019-20","Chicago Bulls",22,43,5762,"0.447",2282,"0.348",3480,"0.511",1332,"0.755",680,2041,1510,652,265,1005,1417,6945
"2020-21","Chicago Bulls",31,41,6380,"0.476",2446,"0.37",3934,"0.542",1258,"0.791",693,2544,1927,482,304,1089,1362,7969
"2021-22","Chicago Bulls",46,36,7127,"0.48",2364,"0.369",4763,"0.535",1766,"0.813",711,2760,1958,585,336,1053,1540,9152
"2022-23","Chicago Bulls",40,42,7116,"0.49",2367,"0.361",4749,"0.555",1788,"0.809",694,2779,2006,644,371,1097,1551,9276
"2000-01","Cleveland Cavaliers",30,52,6532,"0.442",659,"0.334",5873,"0.455",2040,"0.765",1015,2440,1708,642,436,1350,1904,7561
"2001-02","Cleveland Cavaliers",29,53,6582,"0.448",1026,"0.377",5556,"0.461",1980,"0.772",968,2483,1891,572,470,1196,1752,7812
"2002-03","Cleveland Cavaliers",17,65,6746,"0.422",896,"0.327",5850,"0.437",2012,"0.747",1118,2542,1712,636,521,1501,1864,7495
"2003-04","Cleveland Cavaliers",35,47,6753,"0.433",786,"0.314",5967,"0.448",2030,"0.753",1118,2619,1808,585,537,1216,1743,7619
"2004-05","Cleveland Cavaliers",42,40,6687,"0.447",904,"0.332",5783,"0.465",2174,"0.752",1117,2352,1851,654,461,1141,1850,7914
"2005-06","Cleveland Cavaliers",50,32,6412,"0.454",1465,"0.339",4947,"0.487",2318,"0.729",959,2511,1560,567,392,1137,1733,8002
"2006-07","Cleveland Cavaliers",50,32,6658,"0.447",1404,"0.352",5254,"0.473",2133,"0.696",1039,2529,1708,625,353,1177,1781,7934
"2007-08","Cleveland Cavaliers",45,37,6697,"0.439",1544,"0.358",5153,"0.463",2061,"0.717",1092,2563,1640,579,427,1145,1712,7903
"2008-09","Cleveland Cavaliers",66,16,6454,"0.468",1670,"0.393",4784,"0.495",2012,"0.757",886,2574,1663,593,435,1045,1663,8223
"2009-10","Cleveland Cavaliers",61,21,6391,"0.485",1582,"0.381",4809,"0.52",2180,"0.72",791,2692,1835,564,425,1137,1591,8373
"2010-11","Cleveland Cavaliers",19,63,6647,"0.434",1489,"0.342",5158,"0.461",2075,"0.745",856,2449,1720,544,341,1166,1648,7827
"2011-12","Cleveland Cavaliers",21,45,5360,"0.422",1273,"0.346",4087,"0.446",1645,"0.716",841,1949,1308,466,262,1017,1317,6140
"2012-13","Cleveland Cavaliers",24,58,6901,"0.434",1581,"0.346",5320,"0.46",1826,"0.756",1004,2359,1694,647,334,1149,1737,7913
"2013-14","Cleveland Cavaliers",33,49,6955,"0.437",1640,"0.356",5315,"0.461",1861,"0.751",989,2629,1738,579,304,1163,1640,8054
"2014-15","Cleveland Cavaliers",53,29,6739,"0.458",2253,"0.367",4486,"0.504",1934,"0.751",911,2612,1814,603,340,1171,1510,8457
"2015-16","Cleveland Cavaliers",57,25,6888,"0.46",2428,"0.362",4460,"0.514",1783,"0.748",873,2777,1861,551,317,1114,1666,8555
"2016-17","Cleveland Cavaliers",51,31,6963,"0.47",2779,"0.384",4184,"0.528",1913,"0.748",766,2821,1858,539,327,1121,1486,9048
"2017-18","Cleveland Cavaliers",50,32,6950,"0.476",2636,"0.372",4314,"0.54",1909,"0.779",694,2761,1916,582,312,1126,1524,9091
"2018-19","Cleveland Cavaliers",19,63,7184,"0.444",2388,"0.355",4796,"0.488",1694,"0.792",879,2619,1698,534,195,1106,1642,8567
"2019-20","Cleveland Cavaliers",19,46,5715,"0.458",2070,"0.351",3645,"0.519",1296,"0.758",704,2172,1500,447,211,1073,1188,6948
"2020-21","Cleveland Cavaliers",22,50,6175,"0.45",2141,"0.336",4034,"0.51",1614,"0.743",751,2327,1716,559,325,1114,1308,7476
"2021-22","Cleveland Cavaliers",44,38,6940,"0.469",2686,"0.355",4254,"0.541",1810,"0.76",837,2786,2064,580,343,1181,1433,8839
"2022-23","Cleveland Cavaliers",51,31,6984,"0.488",2589,"0.367",4395,"0.559",1844,"0.78",795,2574,2045,586,384,1094,1560,9205
"2000-01","Dallas Mavericks",53,29,6716,"0.459",1357,"0.381",5359,"0.479",1954,"0.794",831,2571,1740,618,492,1141,1907,8239
"2001-02","Dallas Mavericks",57,25,6930,"0.462",1645,"0.378",5285,"0.488",1994,"0.806",918,2568,1811,581,392,992,1842,8629
"2002-03","Dallas Mavericks",60,22,6982,"0.453",1668,"0.381",5314,"0.475",1793,"0.829",912,2544,1837,665,449,949,1730,8444
"2003-04","Dallas Mavericks",52,30,7230,"0.459",1456,"0.348",5774,"0.488",1854,"0.796",1174,2538,1963,656,437,1000,1609,8626
"2004-05","Dallas Mavericks",58,24,6691,"0.457",1273,"0.364",5418,"0.479",2314,"0.789",990,2530,1610,708,461,1102,1827,8405
"2005-06","Dallas Mavericks",60,22,6375,"0.462",1113,"0.374",5262,"0.481",2322,"0.783",1030,2431,1473,593,488,1112,1834,8130
"2006-07","Dallas Mavericks",67,15,6442,"0.467",1404,"0.381",5038,"0.491",2045,"0.805",920,2515,1632,560,408,1140,1837,8201
"2007-08","Dallas Mavericks",51,31,6515,"0.464",1403,"0.352",5112,"0.495",2075,"0.814",883,2643,1720,490,402,1037,1786,8234
"2008-09","Dallas Mavericks",50,32,6770,"0.462",1632,"0.35",5138,"0.498",1852,"0.819",909,2595,1779,591,429,1043,1600,8343
"2009-10","Dallas Mavericks",55,27,6760,"0.464",1498,"0.372",5262,"0.491",1870,"0.816",834,2586,1917,624,449,1059,1563,8364
"2010-11","Dallas Mavericks",57,25,6463,"0.475",1768,"0.365",4695,"0.516",1850,"0.777",780,2618,1954,557,352,1145,1575,8220
"2011-12","Dallas Mavericks",36,30,5412,"0.443",1464,"0.339",3948,"0.482",1334,"0.771",665,2157,1380,565,337,926,1226,6322
"2012-13","Dallas Mavericks",41,41,6892,"0.462",1628,"0.372",5264,"0.489",1669,"0.793",767,2670,1906,648,454,1144,1698,8293
"2013-14","Dallas Mavericks",49,33,6858,"0.474",1877,"0.384",4981,"0.508",1733,"0.795",840,2514,1935,704,356,1110,1636,8597
"2014-15","Dallas Mavericks",50,32,7036,"0.463",2082,"0.352",4954,"0.509",1843,"0.752",858,2608,1846,663,371,1062,1644,8628
"2015-16","Dallas Mavericks",42,40,6900,"0.444",2342,"0.344",4558,"0.495",1831,"0.794",751,2781,1813,560,306,1047,1595,8388
"2016-17","Dallas Mavericks",33,49,6750,"0.44",2473,"0.355",4277,"0.489",1516,"0.801",647,2516,1705,614,307,972,1567,8029
"2017-18","Dallas Mavericks",24,58,7042,"0.444",2688,"0.36",4354,"0.496",1530,"0.763",666,2717,1858,578,310,1008,1578,8390
"2018-19","Dallas Mavericks",33,49,7122,"0.447",3002,"0.34",4120,"0.524",2076,"0.742",832,2884,1918,533,351,1167,1650,8927
"2019-20","Dallas Mavericks",43,32,6772,"0.461",3095,"0.367",3677,"0.541",1787,"0.779",791,2729,1849,460,363,953,1462,8776
"2020-21","Dallas Mavericks",42,30,6287,"0.47",2744,"0.362",3543,"0.554",1524,"0.778",657,2463,1647,450,311,869,1396,8096
"2021-22","Dallas Mavericks",52,30,6982,"0.461",3063,"0.35",3919,"0.548",1739,"0.771",759,2769,1918,552,325,1025,1612,8858
"2022-23","Dallas Mavericks",38,44,6909,"0.475",3362,"0.371",3547,"0.574",2057,"0.755",625,2556,1880,514,304,1002,1697,9366
"2000-01","Denver Nuggets",40,42,6877,"0.433",1444,"0.355",5433,"0.454",1964,"0.737",1044,2583,1970,552,538,1136,1820,7918
"2001-02","Denver Nuggets",27,55,6870,"0.424",1285,"0.329",5585,"0.446",1756,"0.744",1117,2310,1817,613,462,1205,1873,7559
"2002-03","Denver Nuggets",17,65,6544,"0.411",824,"0.278",5720,"0.43",1850,"0.699",1112,2363,1737,712,422,1514,2056,6901
"2003-04","Denver Nuggets",43,39,6763,"0.443",985,"0.336",5778,"0.461",2159,"0.767",1083,2387,1794,745,520,1278,1804,7972
"2004-05","Denver Nuggets",49,33,6615,"0.459",940,"0.34",5675,"0.479",2313,"0.763",967,2473,1958,750,489,1224,1878,8161
"2005-06","Denver Nuggets",44,38,6672,"0.461",1076,"0.325",5596,"0.487",2312,"0.744",903,2486,1921,698,463,1216,1863,8227
"2006-07","Denver Nuggets",45,37,6805,"0.465",1440,"0.336",5365,"0.5",2449,"0.746",1001,2558,1920,678,435,1352,1756,8639
"2007-08","Denver Nuggets",50,32,7038,"0.47",1605,"0.355",5433,"0.504",2519,"0.751",918,2698,2024,752,551,1203,1731,9074
"2008-09","Denver Nuggets",54,28,6510,"0.47",1477,"0.371",5033,"0.499",2487,"0.76",905,2507,1820,710,492,1257,1874,8555
"2009-10","Denver Nuggets",53,29,6678,"0.468",1517,"0.359",5161,"0.5",2508,"0.772",889,2505,1719,683,417,1136,1844,8729
"2010-11","Denver Nuggets",50,32,6613,"0.476",1704,"0.388",4909,"0.506",2429,"0.765",791,2652,1813,605,352,1157,1719,8811
"2011-12","Denver Nuggets",38,28,5404,"0.476",1311,"0.332",4093,"0.522",1760,"0.735",738,2105,1581,540,330,1015,1297,6872
"2012-13","Denver Nuggets",57,25,6983,"0.478",1518,"0.343",5465,"0.516",2148,"0.701",1092,2601,2002,762,533,1253,1682,8704
"2013-14","Denver Nuggets",36,46,7042,"0.447",1959,"0.358",5083,"0.481",2154,"0.726",1009,2717,1838,615,459,1305,1890,8559
"2014-15","Denver Nuggets",30,52,7158,"0.433",2032,"0.325",5126,"0.476",1991,"0.734",1012,2653,1788,641,367,1166,1882,8320
"2015-16","Denver Nuggets",33,49,7003,"0.442",1943,"0.338",5060,"0.482",1974,"0.766",941,2718,1858,609,395,1202,1723,8355
"2016-17","Denver Nuggets",40,42,7194,"0.469",2365,"0.368",4829,"0.519",1986,"0.774",966,2837,2077,568,323,1226,1567,9161
"2017-18","Denver Nuggets",46,36,7102,"0.47",2536,"0.371",4566,"0.525",1830,"0.767",902,2748,2059,627,404,1227,1533,9020
"2018-19","Denver Nuggets",54,28,7384,"0.466",2571,"0.351",4813,"0.527",1714,"0.755",972,2832,2245,634,363,1102,1644,9075
"2019-20","Denver Nuggets",46,27,6488,"0.473",2234,"0.359",4254,"0.533",1526,"0.777",786,2436,1952,586,337,1005,1485,8124
"2020-21","Denver Nuggets",47,25,6422,"0.485",2462,"0.377",3960,"0.552",1406,"0.803",758,2442,1933,582,323,972,1374,8284
"2021-22","Denver Nuggets",48,34,7079,"0.483",2944,"0.353",4135,"0.575",1725,"0.795",752,2865,2279,592,305,1189,1639,9243
"2022-23","Denver Nuggets",53,29,7088,"0.504",2559,"0.379",4529,"0.575",1834,"0.751",828,2699,2368,618,368,1192,1525,9495
"2000-01","Detroit Pistons",32,50,6880,"0.424",1112,"0.35",5768,"0.439",2233,"0.721",1108,2626,1629,613,447,1304,1955,7837
"2001-02","Detroit Pistons",50,32,6300,"0.452",1509,"0.376",4791,"0.475",1954,"0.756",810,2366,1765,648,565,1193,1695,7735
"2002-03","Detroit Pistons",50,32,6277,"0.43",1488,"0.358",4789,"0.452",2021,"0.771",883,2445,1620,556,468,1104,1748,7492
"2003-04","Detroit Pistons",54,28,6314,"0.435",968,"0.344",5346,"0.452",2074,"0.753",1014,2492,1702,659,570,1241,1664,7388
"2004-05","Detroit Pistons",54,28,6421,"0.444",1053,"0.345",5368,"0.463",2150,"0.739",1054,2507,1787,576,497,1133,1638,7653
"2005-06","Detroit Pistons",64,18,6558,"0.455",1451,"0.384",5107,"0.475",1950,"0.727",975,2347,1971,580,490,931,1513,7941
"2006-07","Detroit Pistons",53,29,6484,"0.454",1305,"0.344",5179,"0.481",1988,"0.774",948,2374,1768,583,472,1001,1672,7872
"2007-08","Detroit Pistons",59,23,6551,"0.458",1330,"0.366",5221,"0.481",1965,"0.767",974,2423,1831,583,472,956,1688,7992
